BINOMIAL,ID,Year,Lat,Long,Frequency,Duration,n,tau_p,tau_p_min,tau_p_max,tau_v,tau_v_min,tau_v_max,diffusion,diffusion_min,diffusion_max,HR,HR_min,HR_max,Speed,Speed_min,Speed_max
during,42139,2021,53.4341883,-121.2269616,720,70.5,142,5794097.046,503651.909,66656275.85,NA,NA,NA,17.06696514,13.99704973,20.4367135,846435334.1,74591706.15,2532133672,NA,NA,NA
during,42141,2021,54.7751625,-121.784556,720,70.5,153,1334687.455,340304.6331,5234693.948,10291.742,5482.019336,19321.33887,9.721506476,7.523176969,12.19731954,120642231.9,32552979.88,265365250.8,NA,NA,NA
during,42142,2021,53.9675978,-121.4318041,720,70,135,578463.6823,225430.7651,1484359.207,7187.289172,1724.257,29959.0639,22.83667402,17.39997565,29.00118274,108517021,46843627.76,195651228.4,NA,NA,NA
during,42144,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,
during,42155,2021,54.86089935,-122.2160764,720,70.50069444,142,1800669.466,363172.1666,8928025.94,9185.157483,3527.061016,23919.94854,13.13785188,9.910841613,16.81268034,214186805.4,45710498.89,510266016.8,NA,NA,NA
during,42156,2021,53.4414606,-120.9802765,720,70.5,141,1473236.489,361611.9338,6002085.522,10911.58214,5169.758442,23030.59728,10.75059195,8.033395962,13.8575301,139506179.1,36156557.08,311335383.5,NA,NA,NA
during,42158,2021,53.96073585,-121.4279531,720,70.5,140,1610183.662,422714.3896,6133435.454,NA,NA,NA,28.28028307,23.02849785,34.06343454,358740471.1,96243286.5,790739534,NA,NA,NA
during,42159,2021,53.43831705,-121.206604,720,70.5,152,5119574.737,495642.5917,52880938.65,3152.612422,1086.837168,9144.852031,55.47801662,43.49075339,68.90223823,1783884719,175416139.6,5212722317,NA,NA,NA
during,42294,2021,54.85687965,-122.0923399,720,70.5,140,5059033.976,487231.9401,52529037.32,20926.7948,14016.99531,31242.83992,18.61707141,13.42359245,24.64665316,952084280.8,94778280.93,2774610936,NA,NA,NA
during,42295,2021,54.8471767,-122.0709379,720,70.50069444,142,833472.3804,216578.3609,3207505.155,6394.892423,1052.957429,38837.89408,12.80912229,9.601983108,16.47128741,76845835.47,22836219.74,163030202.4,NA,NA,NA
