"ID","period","herd","Year","Lat","Long","Frequency","Duration","n","tau_p","tau_p_min","tau_p_max","tau_v","tau_v_min","tau_v_max","diffusion","diffusion_min","diffusion_max","HR","HR_min","HR_max","Speed","Speed_min","Speed_max","elev_220809","slope_220809","proj_age_220809","heli_ten_220809"
42155,"during","hr",2021,54.86089935,-122.2160764,720,70.50069444,142,1800669.466,363172.1666,8928025.94,9185.157483,3527.061016,23919.94854,13.13785188,9.910841613,16.81268034,214186805.4,45710498.89,510266016.8,NA,NA,NA,2.03228327888083,1.82444159030979,0.630453701247895,0
42156,"after","nc",2022,53.31085105,-120.9973201,720,33.5,66,217073.6118,84674.09377,556497.8715,NA,NA,NA,3.937474055,2.644399768,5.483856867,5054068.345,2285408.645,8902663.382,NA,NA,NA,3.14906574721047,2.9169936926511,1.86980481168391,0
42156,"during","nc",2021,53.4414606,-120.9802765,720,70.5,141,1473236.489,361611.9338,6002085.522,10911.58214,5169.758442,23030.59728,10.75059195,8.033395962,13.8575301,139506179.1,36156557.08,311335383.5,NA,NA,NA,2.76642040867656,2.79852393191915,1.05975330962758,0.45174966999729
42158,"during","hr",2021,53.96073585,-121.4279531,720,70.5,140,1610183.662,422714.3896,6133435.454,NA,NA,NA,28.28028307,23.02849785,34.06343454,358740471.1,96243286.5,790739534,NA,NA,NA,1.97136225586167,2.17241484491559,0.5402064551734,0.825781034898859
42158,"after","hr",2022,53.989121,-121.4275406,720,33.5,68,605098.7646,162621.3133,2251516.161,NA,NA,NA,8.742030204,6.503807963,11.30613583,45629568.4,13104975.44,98072458.1,NA,NA,NA,2.3608288300647,2.83040296350307,0.847207977189973,1
42159,"after","nc",2022,53.4376651,-121.1887742,720,33.5,67,1654226.948,216330.9007,12649449.47,12583.52024,4648.101536,34066.59265,31.54613466,19.62526445,46.25044048,390983594.4,53811073.21,1055297627,NA,NA,NA,2.71434703807953,2.33944084982165,0.496181802729245,0.157106143021109
42159,"during","nc",2021,53.43831705,-121.206604,720,70.5,152,5119574.737,495642.5917,52880938.65,3152.612422,1086.837168,9144.852031,55.47801662,43.49075339,68.90223823,1783884719,175416139.6,5212722317,NA,NA,NA,2.43527637459359,2.17383303963524,0.415495678384486,0.116151603976856
42294,"during","hr",2021,54.85687965,-122.0923399,720,70.5,140,5059033.976,487231.9401,52529037.32,20926.7948,14016.99531,31242.83992,18.61707141,13.42359245,24.64665316,952084280.8,94778280.93,2774610936,NA,NA,NA,2.02921594255954,1.87205570747624,0.457853892769828,0
42294,"after","hr",2022,54.9498938,-122.0993164,720,33.5,67,876922.0917,137458.655,5594353.843,34809.28399,20936.10631,57875.43462,80.3870428,48.73254637,119.8348204,735680797.2,141489514.1,1810009558,NA,NA,NA,2.24912728303472,2.14011315636426,0.395109794282296,0
42295,"during","hr",2021,54.8471767,-122.0709379,720,70.50069444,142,833472.3804,216578.3609,3207505.155,6394.892423,1052.957429,38837.89408,12.80912229,9.601983108,16.47128741,76845835.47,22836219.74,163030202.4,NA,NA,NA,2.35344358149009,2.2572914930638,0.724634155575176,0
42296,"after","hr",2022,54.9605881,-122.3547999,720,33.5,67,765917.2008,149423.6583,3925945.632,16748.79272,7677.209346,36539.58682,8.183084045,5.350325693,11.60808882,62909900.15,14287127.97,146885445.9,NA,NA,NA,2.43407496602649,2.27958739864849,0.119466343384851,0
